CLAVE,Year,UE
20228,2015,20
20228,2019,47
20229,2015,54
20229,2019,6
20230,2015,32
20230,2019,29
20231,2015,56
20231,2019,56
20232,2015,385
20232,2019,836
20233,2015,75
20233,2019,95
20234,2015,40
20234,2019,38
20235,2015,144
20235,2019,163
20236,2015,41
20236,2019,48
20237,2015,100
20237,2019,116
20238,2015,17
20238,2019,28
20239,2015,13
20239,2019,15
20240,2015,40
20240,2019,44
20241,2015,66
20241,2019,96
20242,2015,213
20242,2019,226
20243,2015,247
20243,2019,255
20244,2015,90
20244,2019,111
20245,2015,41
20245,2019,39
20246,2015,49
20246,2019,64
20247,2015,142
20247,2019,150
20248,2015,435
20248,2019,806
20249,2015,157
20249,2019,182
20250,2015,26
20250,2019,45
20251,2015,71
20251,2019,58
20252,2015,66
20252,2019,81
20253,2015,42
20253,2019,56
20254,2015,44
20254,2019,76
20255,2015,93
20255,2019,133
20256,2015,12
20256,2019,18
20257,2015,39
20257,2019,42
20258,2015,53
20258,2019,47
20259,2015,166
20259,2019,174
20260,2015,76
20260,2019,95
20261,2015,101
20261,2019,87
20262,2015,15
20262,2019,71
20263,2015,144
20263,2019,161
20264,2015,21
20264,2019,35
20265,2015,75
20265,2019,88
20266,2015,57
20266,2019,224
20267,2015,19
20267,2019,22
20268,2015,47
20268,2019,58
20269,2015,143
20269,2019,180
20270,2015,108
20270,2019,137
20271,2015,38
20271,2019,31
20272,2015,238
20272,2019,299
20273,2015,75
20273,2019,97
20274,2015,25
20274,2019,53
20275,2015,158
20275,2019,217
20276,2015,30
20276,2019,32
20277,2015,297
20277,2019,404
20278,2015,445
20278,2019,1126
20279,2015,104
20279,2019,173
20280,2015,139
20280,2019,174
20281,2015,14
20281,2019,15
20282,2015,15
20282,2019,38
20283,2015,80
20283,2019,82
20284,2015,150
20284,2019,307
20285,2015,104
20285,2019,134
20286,2015,135
20286,2019,150
20287,2015,14
20287,2019,24
20288,2015,15
20288,2019,16
20289,2015,29
20289,2019,31
20290,2015,66
20290,2019,69
20291,2015,51
20291,2019,53
20292,2015,11
20292,2019,11
20293,2015,371
20293,2019,447
20294,2015,351
20294,2019,396
20295,2015,667
20295,2019,917
20296,2015,32
20296,2019,32
20297,2015,45
20297,2019,55
20298,2015,1755
20298,2019,2176
20299,2015,239
20299,2019,245
20300,2015,249
20300,2019,718
20301,2015,95
20301,2019,121
20302,2015,102
20302,2019,145
20303,2015,75
20303,2019,124
20304,2015,11
20304,2019,13
20305,2015,313
20305,2019,345
20306,2015,49
20306,2019,64
20307,2015,126
20307,2019,152
20308,2015,142
20308,2019,185
20309,2015,226
20309,2019,576
20310,2015,171
20310,2019,280
20311,2015,110
20311,2019,149
20312,2015,199
20312,2019,291
20313,2015,310
20313,2019,213
20314,2015,198
20314,2019,258
20315,2015,48
20315,2019,59
20316,2015,47
20316,2019,58
20317,2015,13
20317,2019,23
20318,2015,3845
20318,2019,4809
20319,2015,29
20319,2019,34
20320,2015,27
20320,2019,27
20321,2015,19
20321,2019,15
20322,2015,27
20322,2019,47
20323,2015,34
20323,2019,55
20324,2015,1852
20324,2019,3093
20325,2015,401
20325,2019,421
20326,2015,51
20326,2019,85
20327,2015,528
20327,2019,737
20328,2015,238
20328,2019,311
20329,2015,40
20329,2019,64
20330,2015,63
20330,2019,84
20331,2015,123
20331,2019,150
20332,2015,11
20332,2019,11
20333,2015,126
20333,2019,164
20334,2015,1765
20334,2019,3240
20335,2015,20
20335,2019,24
20336,2015,41
20336,2019,44
20337,2015,319
20337,2019,363
20338,2015,776
20338,2019,924
20339,2015,250
20339,2019,287
20340,2015,57
20340,2019,74
20341,2015,13
20341,2019,14
20342,2015,65
20342,2019,119
20343,2015,83
20343,2019,97
20344,2015,92
20344,2019,87
20345,2015,84
20345,2019,115
20346,2015,245
20346,2019,371
20347,2015,147
20347,2019,175
20348,2015,192
20348,2019,233
20349,2015,121
20349,2019,136
20350,2015,724
20350,2019,919
20351,2015,54
20351,2019,65
20352,2015,107
20352,2019,120
20353,2015,49
20353,2019,129
20354,2015,13
20354,2019,17
20355,2015,17
20355,2019,25
20356,2015,236
20356,2019,420
20357,2015,62
20357,2019,62
20358,2015,61
20358,2019,60
20359,2015,44
20359,2019,47
20360,2015,158
20360,2019,221
20361,2015,31
20361,2019,25
20362,2015,61
20362,2019,52
20363,2015,43
20363,2019,174
20364,2015,1065
20364,2019,1541
20365,2015,15
20365,2019,62
20366,2015,180
20366,2019,201
20367,2015,115
20367,2019,303
20368,2015,68
20368,2019,97
20369,2015,77
20369,2019,131
20370,2015,29
20370,2019,27
20371,2015,63
20371,2019,58
20372,2015,54
20372,2019,57
20373,2015,44
20373,2019,50
20374,2015,34
20374,2019,41
20375,2015,431
20375,2019,606
20376,2015,28
20376,2019,27
20377,2015,118
20377,2019,157
20378,2015,80
20378,2019,102
20379,2015,30
20379,2019,41
20380,2015,183
20380,2019,223
20381,2015,171
20381,2019,176
20382,2015,42
20382,2019,54
20383,2015,9
20383,2019,11
20384,2015,464
20384,2019,451
20385,2015,3614
20385,2019,4458
20386,2015,65
20386,2019,102
20387,2015,130
20387,2019,176
20388,2015,17
20388,2019,24
20389,2015,35
20389,2019,69
20390,2015,3549
20390,2019,3805
20391,2015,42
20391,2019,42
20392,2015,54
20392,2019,64
20393,2015,146
20393,2019,185
20394,2015,33
20394,2019,55
20395,2015,50
20395,2019,76
20396,2015,75
20396,2019,109
20397,2015,2185
20397,2019,2702
20398,2015,370
20398,2019,397
20399,2015,1575
20399,2019,1864
20400,2015,119
20400,2019,94
20401,2015,796
20401,2019,1530
20402,2015,72
20402,2019,81
20403,2015,191
20403,2019,221
20404,2015,28
20404,2019,34
20405,2015,164
20405,2019,107
20406,2015,15
20406,2019,325
20407,2015,123
20407,2019,147
20408,2015,7
20408,2019,14
20409,2015,535
20409,2019,715
20410,2015,28
20410,2019,38
20411,2015,34
20411,2019,54
20412,2015,92
20412,2019,238
20413,2015,2581
20413,2019,3549
20414,2015,300
20414,2019,345
20415,2015,105
20415,2019,130
20416,2015,115
20416,2019,166
20417,2015,68
20417,2019,91
20418,2015,592
20418,2019,996
20419,2015,30
20419,2019,53
20420,2015,38
20420,2019,48
20421,2015,184
20421,2019,292
20422,2015,19
20422,2019,18
20423,2015,8
20423,2019,7
20424,2015,44
20424,2019,46
20425,2015,41
20425,2019,63
20426,2015,38
20426,2019,46
20427,2015,219
20427,2019,315
20428,2015,21
20428,2019,36
20429,2015,41
20429,2019,62
20430,2015,27
20430,2019,37
20431,2015,72
20431,2019,86
20432,2015,60
20432,2019,55
20433,2015,40
20433,2019,57
20434,2015,43
20434,2019,57
20435,2015,64
20435,2019,86
20436,2015,238
20436,2019,284
20437,2015,213
20437,2019,301
20438,2015,46
20438,2019,54
20439,2015,365
20439,2019,1500
20440,2015,26
20440,2019,39
20441,2015,1213
20441,2019,1673
20442,2015,18
20442,2019,21
20443,2015,19
20443,2019,35
20444,2015,15
20444,2019,24
20445,2015,23
20445,2019,22
20446,2015,19
20446,2019,38
20447,2015,419
20447,2019,728
20448,2015,29
20448,2019,42
20449,2015,125
20449,2019,137
20450,2015,108
20450,2019,155
20451,2015,36
20451,2019,56
20452,2015,187
20452,2019,404
20453,2015,169
20453,2019,220
20454,2015,37
20454,2019,38
20455,2015,91
20455,2019,126
20456,2015,178
20456,2019,191
20457,2015,31
20457,2019,36
20458,2015,32
20458,2019,36
20459,2015,193
20459,2019,281
20460,2015,63
20460,2019,92
20461,2015,21
20461,2019,18
20462,2015,173
20462,2019,155
20463,2015,21
20463,2019,26
20464,2015,36
20464,2019,36
20465,2015,42
20465,2019,50
20466,2015,74
20466,2019,179
20467,2015,713
20467,2019,1132
20468,2015,72
20468,2019,112
20469,2015,1250
20469,2019,1490
20470,2015,42
20470,2019,84
20471,2015,24
20471,2019,28
20472,2015,185
20472,2019,268
20473,2015,34
20473,2019,35
20474,2015,133
20474,2019,133
20475,2015,734
20475,2019,844
20476,2015,26
20476,2019,40
20477,2015,26
20477,2019,24
20478,2015,34
20478,2019,31
20479,2015,16
20479,2019,11
20480,2015,17
20480,2019,18
20481,2015,31
20481,2019,34
20482,2015,2836
20482,2019,3549
20483,2015,356
20483,2019,432
20484,2015,267
20484,2019,256
20485,2015,48
20485,2019,62
20486,2015,125
20486,2019,140
20487,2015,32
20487,2019,32
20488,2015,18
20488,2019,17
20489,2015,32
20489,2019,80
20490,2015,35
20490,2019,52
20491,2015,41
20491,2019,45
20492,2015,48
20492,2019,62
20493,2015,15
20493,2019,18
20494,2015,18
20494,2019,23
20495,2015,48
20495,2019,37
20496,2015,32
20496,2019,43
20497,2015,131
20497,2019,374
20498,2015,31
20498,2019,46
20499,2015,204
20499,2019,227
20500,2015,191
20500,2019,238
20501,2015,37
20501,2019,38
20502,2015,88
20502,2019,122
20503,2015,41
20503,2019,36
20504,2015,54
20504,2019,78
20505,2015,423
20505,2019,532
20506,2015,33
20506,2019,85
20507,2015,115
20507,2019,167
20508,2015,56
20508,2019,127
20509,2015,116
20509,2019,211
20510,2015,21
20510,2019,30
20511,2015,30
20511,2019,28
20512,2015,20
20512,2019,23
20513,2015,282
20513,2019,364
20514,2015,16
20514,2019,18
20515,2015,2968
20515,2019,4697
20516,2015,170
20516,2019,231
20517,2015,92
20517,2019,156
20518,2015,7
20518,2019,9
20519,2015,121
20519,2019,190
20520,2015,268
20520,2019,270
20521,2015,7
20521,2019,16
20522,2015,80
20522,2019,101
20523,2015,72
20523,2019,88
20524,2015,147
20524,2019,87
20525,2015,591
20525,2019,826
20526,2015,519
20526,2019,685
20527,2015,91
20527,2019,78
20528,2015,113
20528,2019,118
20529,2015,15
20529,2019,12
20530,2015,193
20530,2019,289
20531,2015,285
20531,2019,359
20532,2015,30
20532,2019,46
20533,2015,51
20533,2019,86
20534,2015,125
20534,2019,327
20535,2015,77
20535,2019,91
20536,2015,19
20536,2019,25
20537,2015,233
20537,2019,206
20538,2015,22
20538,2019,29
20539,2015,262
20539,2019,369
20540,2015,578
20540,2019,713
20541,2015,60
20541,2019,67
20542,2015,21
20542,2019,28
20543,2015,117
20543,2019,192
20544,2015,60
20544,2019,79
20545,2015,543
20545,2019,666
20546,2015,893
20546,2019,1128
20547,2015,53
20547,2019,68
20548,2015,123
20548,2019,159
20549,2015,325
20549,2019,331
20550,2015,294
20550,2019,415
20551,2015,1575
20551,2019,1913
20552,2015,50
20552,2019,50
20553,2015,827
20553,2019,999
20554,2015,95
20554,2019,101
20555,2015,35
20555,2019,62
20556,2015,13
20556,2019,14
20557,2015,682
20557,2019,1032
20558,2015,30
20558,2019,31
20559,2015,498
20559,2019,576
20560,2015,438
20560,2019,809
20561,2015,184
20561,2019,231
20562,2015,91
20562,2019,101
20563,2015,50
20563,2019,57
20564,2015,208
20564,2019,314
20565,2015,2096
20565,2019,2644
20566,2015,55
20566,2019,61
20567,2015,134
20567,2019,137
20568,2015,296
20568,2019,334
20569,2015,27
20569,2019,39
20570,2015,1046
20570,2019,1426
21001,2015,2476
21001,2019,2686
21002,2015,273
21002,2019,276
21003,2015,2174
21003,2019,2262
21004,2015,2692
21004,2019,3268
21005,2015,551
21005,2019,586
21006,2015,257
21006,2019,308
21007,2015,53
21007,2019,68
21008,2015,245
21008,2019,301
21009,2015,72
21009,2019,67
21010,2015,3023
21010,2019,4304
21011,2015,143
21011,2019,185
21012,2015,236
21012,2019,291
21013,2015,1915
21013,2019,2365
21014,2015,142
21014,2019,149
21015,2015,5156
21015,2019,6159
21016,2015,125
21016,2019,164
21017,2015,818
21017,2019,1115
21018,2015,54
21018,2019,78
21019,2015,7509
21019,2019,7979
21020,2015,488
21020,2019,546
21021,2015,65
21021,2019,60
21022,2015,388
21022,2019,456
21023,2015,195
21023,2019,260
21024,2015,41
21024,2019,30
21025,2015,338
21025,2019,362
21026,2015,594
21026,2019,749
21027,2015,29
21027,2019,45
21028,2015,47
21028,2019,62
21029,2015,116
21029,2019,163
21030,2015,25
21030,2019,29
21031,2015,184
21031,2019,198
21032,2015,30
21032,2019,45
21033,2015,404
21033,2019,460
21034,2015,2790
21034,2019,2908
21035,2015,603
21035,2019,676
21036,2015,105
21036,2019,124
21037,2015,95
21037,2019,82
21038,2015,454
21038,2019,632
21039,2015,176
21039,2019,204
21040,2015,116
21040,2019,145
21041,2015,3698
21041,2019,4493
21042,2015,66
21042,2019,90
21043,2015,1193
21043,2019,1309
21044,2015,353
21044,2019,435
21045,2015,1915
21045,2019,2267
21046,2015,386
21046,2019,456
21047,2015,1117
21047,2019,1284
21048,2015,746
21048,2019,898
21049,2015,147
21049,2019,203
21050,2015,147
21050,2019,188
21051,2015,1561
21051,2019,1512
21052,2015,350
21052,2019,389
21053,2015,2388
21053,2019,2762
21054,2015,854
21054,2019,1070
21055,2015,154
21055,2019,170
21056,2015,73
21056,2019,75
21057,2015,122
21057,2019,134
21058,2015,562
21058,2019,821
21059,2015,110
21059,2019,120
21060,2015,256
21060,2019,266
21061,2015,94
21061,2019,144
21062,2015,148
21062,2019,157
21063,2015,585
21063,2019,702
21064,2015,339
21064,2019,461
21065,2015,781
21065,2019,953
21066,2015,199
21066,2019,226
21067,2015,834
21067,2019,1111
21068,2015,112
21068,2019,115
21069,2015,532
21069,2019,617
21070,2015,177
21070,2019,188
21071,2015,5272
21071,2019,6071
21072,2015,274
21072,2019,286
21073,2015,491
21073,2019,553
21074,2015,3015
21074,2019,3682
21075,2015,480
21075,2019,699
21076,2015,508
21076,2019,589
21077,2015,78
21077,2019,100
21078,2015,135
21078,2019,219
21079,2015,172
21079,2019,226
21080,2015,42
21080,2019,62
21081,2015,67
21081,2019,98
21082,2015,409
21082,2019,461
21083,2015,72
21083,2019,97
21084,2015,187
21084,2019,221
21085,2015,4943
21085,2019,5127
21086,2015,16
21086,2019,19
21087,2015,498
21087,2019,538
21088,2015,95
21088,2019,100
21089,2015,333
21089,2019,398
21090,2015,939
21090,2019,968
21091,2015,541
21091,2019,541
21092,2015,324
21092,2019,278
21093,2015,25
21093,2019,42
21094,2015,1754
21094,2019,2113
21095,2015,21
21095,2019,46
21096,2015,72
21096,2019,85
21097,2015,86
21097,2019,92
21098,2015,168
21098,2019,204
21099,2015,387
21099,2019,411
21100,2015,72
21100,2019,91
21101,2015,58
21101,2019,78
21102,2015,892
21102,2019,1170
21103,2015,158
21103,2019,189
21104,2015,827
21104,2019,941
21105,2015,98
21105,2019,100
21106,2015,1111
21106,2019,1386
21107,2015,182
21107,2019,193
21108,2015,655
21108,2019,714
21109,2015,975
21109,2019,1040
21110,2015,1487
21110,2019,1780
21111,2015,442
21111,2019,639
21112,2015,274
21112,2019,299
21113,2015,156
21113,2019,169
21114,2015,80712
21114,2019,85710
21115,2015,1495
21115,2019,2351
21116,2015,165
21116,2019,157
21117,2015,1216
21117,2019,1328
21118,2015,1087
21118,2019,1449
21119,2015,5808
21119,2019,7054
21120,2015,48
21120,2019,66
21121,2015,32
21121,2019,44
21122,2015,296
21122,2019,362
21123,2015,23
21123,2019,20
21124,2015,885
21124,2019,1365
21125,2015,498
21125,2019,580
21126,2015,78
21126,2019,96
21127,2015,96
21127,2019,104
21128,2015,254
21128,2019,333
21129,2015,564
21129,2019,875
21130,2015,135
21130,2019,180
21131,2015,191
21131,2019,195
21132,2015,9919
21132,2019,10668
21133,2015,44
21133,2019,42
21134,2015,987
21134,2019,1191
21135,2015,108
21135,2019,97
21136,2015,837
21136,2019,868
21137,2015,339
21137,2019,458
21138,2015,715
21138,2019,797
21139,2015,112
21139,2019,141
21140,2015,8314
21140,2019,9956
21141,2015,115
21141,2019,130
21142,2015,2012
21142,2019,2322
21143,2015,1311
21143,2019,1627
21144,2015,2195
21144,2019,2838
21145,2015,135
21145,2019,162
21146,2015,171
21146,2019,184
21147,2015,595
21147,2019,688
21148,2015,78
21148,2019,90
21149,2015,698
21149,2019,1044
21150,2015,173
21150,2019,223
21151,2015,593
21151,2019,636
21152,2015,350
21152,2019,394
21153,2015,883
21153,2019,1149
21154,2015,3864
21154,2019,4755
21155,2015,166
21155,2019,209
21156,2015,17882
21156,2019,20949
21157,2015,512
21157,2019,618
21158,2015,135
21158,2019,165
21159,2015,955
21159,2019,921
21160,2015,77
21160,2019,94
21161,2015,646
21161,2019,903
21162,2015,204
21162,2019,202
21163,2015,833
21163,2019,1081
21164,2015,4575
21164,2019,5322
21165,2015,162
21165,2019,148
21166,2015,398
21166,2019,442
21167,2015,66
21167,2019,77
21168,2015,586
21168,2019,688
21169,2015,442
21169,2019,540
21170,2015,347
21170,2019,509
21171,2015,222
21171,2019,291
21172,2015,709
21172,2019,813
21173,2015,344
21173,2019,386
21174,2015,5214
21174,2019,5912
21175,2015,367
21175,2019,360
21176,2015,132
21176,2019,165
21177,2015,2499
21177,2019,3354
21178,2015,153
21178,2019,156
21179,2015,640
21179,2019,842
21180,2015,1293
21180,2019,1653
21181,2015,280
21181,2019,392
21182,2015,307
21182,2019,341
21183,2015,240
21183,2019,302
21184,2015,50
21184,2019,58
21185,2015,259
21185,2019,296
21186,2015,1562
21186,2019,1779
21187,2015,97
21187,2019,108
21188,2015,455
21188,2019,525
21189,2015,969
21189,2019,1186
21190,2015,73
21190,2019,67
21191,2015,717
21191,2019,832
21192,2015,121
21192,2019,138
21193,2015,221
21193,2019,242
21194,2015,1671
21194,2019,2134
21195,2015,390
21195,2019,356
21196,2015,64
21196,2019,69
21197,2015,4065
21197,2019,4467
21198,2015,40
21198,2019,66
21199,2015,1013
21199,2019,1428
21200,2015,106
21200,2019,117
21201,2015,99
21201,2019,106
21202,2015,318
21202,2019,442
21203,2015,315
21203,2019,373
21204,2015,267
21204,2019,313
21205,2015,900
21205,2019,1098
21206,2015,80
21206,2019,92
21207,2015,2104
21207,2019,2452
21208,2015,3712
21208,2019,4094
21209,2015,323
21209,2019,389
21210,2015,152
21210,2019,198
21211,2015,1050
21211,2019,1230
21212,2015,1139
21212,2019,1103
21213,2015,137
21213,2019,181
21214,2015,1119
21214,2019,1547
21215,2015,175
21215,2019,218
21216,2015,64
21216,2019,64
21217,2015,562
21217,2019,561
22001,2015,1126
22001,2019,1358
22002,2015,230
22002,2019,226
22003,2015,138
22003,2019,149
22004,2015,1570
22004,2019,1804
22005,2015,689
22005,2019,1049
22006,2015,4993
22006,2019,5565
22007,2015,2341
22007,2019,2694
22008,2015,410
22008,2019,516
22009,2015,971
22009,2019,1122
22010,2015,111
22010,2019,143
22011,2015,2607
22011,2019,4147
22012,2015,2190
22012,2019,2694
22013,2015,148
22013,2019,160
22014,2015,40207
22014,2019,45370
22015,2015,277
22015,2019,317
22016,2015,10864
22016,2019,11852
22017,2015,3690
22017,2019,4302
22018,2015,509
22018,2019,671
23001,2015,3929
23001,2019,4759
23002,2015,1825
23002,2019,1980
23003,2015,1069
23003,2019,1248
23004,2015,8146
23004,2019,8751
23005,2015,25716
23005,2019,26580
23006,2015,836
23006,2019,911
23007,2015,437
23007,2019,759
23008,2015,7771
23008,2019,10139
23009,2015,1448
23009,2019,2302
23010,2015,791
23010,2019,906
23011,2019,1064
24001,2015,441
24001,2019,503
24002,2015,63
24002,2019,69
24003,2015,214
24003,2019,351
24004,2015,26
24004,2019,39
24005,2015,1089
24005,2019,1080
24006,2015,307
24006,2019,352
24007,2015,689
24007,2019,784
24008,2015,1309
24008,2019,1391
24009,2015,14
24009,2019,43
24010,2015,933
24010,2019,1043
24011,2015,1809
24011,2019,2243
24012,2015,311
24012,2019,333
24013,2015,7282
24013,2019,8018
24014,2015,183
24014,2019,228
24015,2015,823
24015,2019,885
24016,2015,1615
24016,2019,2041
24017,2015,104
24017,2019,88
24018,2015,49
24018,2019,57
24019,2015,40
24019,2019,38
24020,2015,5095
24020,2019,5443
24021,2015,163
24021,2019,256
24022,2015,469
24022,2019,510
24023,2015,399
24023,2019,449
24024,2015,4137
24024,2019,4667
24025,2015,1253
24025,2019,1260
24026,2015,53
24026,2019,62
24027,2015,515
24027,2019,577
24028,2015,39652
24028,2019,42131
24029,2015,182
24029,2019,201
24030,2015,42
24030,2019,37
24031,2015,14
24031,2019,15
24032,2015,1278
24032,2019,1342
24033,2015,53
24033,2019,57
24034,2015,443
24034,2019,455
24035,2015,9587
24035,2019,9934
